"study","treat1","treat2","effect","se"
"Llewellyn-Jones 1996","Fluticasone","Placebo",-2.38122822031316,1.60784934815299
"Boyd 1997","Salmeterol","Placebo",-0.307432549869197,0.222873584648204
"Paggiaro 1998","Fluticasone","Placebo",-0.222537306979182,0.25199797632844
"Mahler 1999","Salmeterol","Placebo",-0.626423734528925,0.277043936079021
"Casaburi 2000","Tiotropium","Placebo",-0.351595398195434,0.239901306926061
"Burge 2000","Fluticasone","Placebo",0.0379866637397275,0.17619495797143
"Littner 2000","Tiotropium","Placebo",-1.06919840346182,1.65090972502487
"vanNoord 2000","Salmeterol","Placebo",-0.610259520754178,0.453312722347856
"Rennard 2001","Salmeterol","Placebo",-0.075985906977922,0.268295786625143
"Casaburi 2002","Tiotropium","Placebo",-0.254582124025436,0.137669289757623
"Chapman 2002","Salmeterol","Placebo",-0.337736359409447,0.218728840311469
"Donohue 2002","Tiotropium","Placebo",-0.369437195552584,0.20151091212827
"Donohue 2002","Tiotropium","Salmeterol",-0.0705184247957886,0.200976317759704
"Donohue 2002","Salmeterol","Placebo",-0.298918770756795,0.199681213141036
"Hattotuwa 2002","Fluticasone","Placebo",-2.38262780066758,0.871926837674131
"Mahler 2002","Fluticasone","Fluticasone+Salmeterol",0.18814918866411,0.221339523536762
"Mahler 2002","Fluticasone","Placebo",0.0884708761540834,0.215495181831875
"Mahler 2002","Fluticasone","Salmeterol",0.264522167448684,0.223960528217709
"Mahler 2002","Salmeterol","Fluticasone+Salmeterol",-0.076372978784574,0.226268546039851
"Mahler 2002","Salmeterol","Placebo",-0.176051291294601,0.220554854039216
"Mahler 2002","Fluticasone+Salmeterol","Placebo",-0.0996783125100266,0.217892886804928
"Rossi 2002","Formoterol","Placebo",-0.308680219291554,0.178951520952556
"Brusasco 2003","Tiotropium","Placebo",-0.302347172779623,0.148066061990903
"Brusasco 2003","Tiotropium","Salmeterol",-0.133332416246784,0.149196100945862
"Brusasco 2003","Salmeterol","Placebo",-0.169014756532839,0.146127177335163
"Carverley-ERJ 2003","Budesonide","Budesonide+Formoterol",0.412740167871681,0.181697336333325
"Carverley-ERJ 2003","Budesonide","Formoterol",-0.238468323467934,0.189324118851297
"Carverley-ERJ 2003","Budesonide","Placebo",0.206204352957132,0.182747265712352
"Carverley-ERJ 2003","Formoterol","Budesonide+Formoterol",0.651208491339615,0.186170013383014
"Carverley-ERJ 2003","Formoterol","Placebo",0.444672676425066,0.187194858310123
"Carverley-ERJ 2003","Budesonide+Formoterol","Placebo",-0.206535814914549,0.179477617071189
"Carverley-L 2003","Fluticasone","Fluticasone+Salmeterol",-0.0751278600544673,0.15096637935781
"Carverley-L 2003","Fluticasone","Placebo",-0.255578827067364,0.152488234548409
"Carverley-L 2003","Fluticasone","Salmeterol",0.0423023796906894,0.14866311119485
"Carverley-L 2003","Salmeterol","Fluticasone+Salmeterol",-0.117430239745157,0.1508969818984
"Carverley-L 2003","Salmeterol","Placebo",-0.297881206758053,0.152419529999702
"Carverley-L 2003","Fluticasone+Salmeterol","Placebo",-0.180450967012896,0.15466686843537
"Celli 2003","Salmeterol","Placebo",-0.300852628889657,0.185454722404716
"Hanania 2003","Fluticasone","Fluticasone+Salmeterol",0.13520591074624,0.213784737290254
"Hanania 2003","Fluticasone","Placebo",0.153096383472352,0.211898121815753
"Hanania 2003","Fluticasone","Salmeterol",0.269168554725106,0.215839753698601
"Hanania 2003","Salmeterol","Fluticasone+Salmeterol",-0.133962643978867,0.218502833500995
"Hanania 2003","Salmeterol","Placebo",-0.116072171252754,0.21665730631286
"Hanania 2003","Fluticasone+Salmeterol","Placebo",0.0178904727261127,0.214610118587952
"Szafranski 2004","Budesonide","Budesonide+Formoterol",-0.291454405783606,0.280405540854935
"Szafranski 2004","Budesonide","Formoterol",-0.433233897711594,0.27699503740816
"Szafranski 2004","Budesonide","Placebo",-0.835809331497816,0.264049926806719
"Szafranski 2004","Formoterol","Budesonide+Formoterol",0.141779491927989,0.25846186215973
"Szafranski 2004","Formoterol","Placebo",-0.402575433786222,0.240619265013341
"Szafranski 2004","Budesonide+Formoterol","Placebo",-0.544354925714211,0.244537619373709
"Odonnel 2004","Tiotropium","Placebo",-0.558594858801315,0.507446734960837
"Briggs 2005","Tiotropium","Salmeterol",-0.212988355186927,0.260628132444589
"Campbell 2005","Formoterol","Placebo",0.0455168388244629,0.262684658301895
"Niewoehner 2005","Tiotropium","Placebo",-0.211714170983545,0.102141600604166
"vanNoord 2005","Tiotropium","Formoterol",-1.43508452528932,0.595618925792242
"Barnes 2006","Fluticasone+Salmeterol","Placebo",-0.913689950174098,0.413329243700717
"Beeh 2006","Tiotropium","Placebo",-0.373660924827221,0.148655643971978
"Dusser 2006","Tiotropium","Placebo",-0.421641811212486,0.127214642894048
"Odonnel 2006","Fluticasone+Salmeterol","Placebo",-1.13251384034379,0.837003412563938
"Odonnel 2006","Fluticasone+Salmeterol","Salmeterol",0.659245628884264,1.23851041415767
"Odonnel 2006","Salmeterol","Placebo",-1.79175946922805,1.09596962790369
"Stokley 2006","Salmeterol","Placebo",-0.202516899229441,0.159117095995524
"Verkindre 2006","Tiotropium","Placebo",-1.63269477459837,1.56413487829913
"Baumgartner 2007","Salmeterol","Placebo",-0.223479629287462,0.328838173179813
"Freeman 2007","Tiotropium","Placebo",-0.734232298354972,0.304922726928069
"Carverley 2007","Fluticasone","Fluticasone+Salmeterol",0.130474200488908,0.0734469852269281
"Carverley 2007","Fluticasone","Placebo",-0.131144751427446,0.0745757652945382
"Carverley 2007","Fluticasone","Salmeterol",-0.0327548843171184,0.0741519080405805
"Carverley 2007","Salmeterol","Fluticasone+Salmeterol",0.163229084806026,0.0737391528171222
"Carverley 2007","Salmeterol","Placebo",-0.0983898671103273,0.0748635277590387
"Carverley 2007","Fluticasone+Salmeterol","Placebo",-0.261618951916353,0.0741653690167739
"Kardos 2007","Fluticasone+Salmeterol","Salmeterol",-0.326090005643523,0.127841019914093
"Powrie 2007","Tiotropium","Placebo",-0.854415328156068,0.344546793891016
"Wedzicha 2008","Fluticasone+Salmeterol","Tiotropium",0.128016211936412,0.112538901999814
