"study","treat1","treat2","effect","se"
"1","TCA","Placebo",0.0947272593564576,0.339731247862871
"1","TCA","SNRI",-0.570249044236791,0.362066187249054
"4","TCA","Placebo",0.916290731874155,0.555277708298589
"7","TCA","Placebo",0.45953232937844,0.510847249459857
"9","TCA","SSRI",-0.337753284408675,0.233706213931254
"11","TCA","Placebo",0.198850858745165,0.280879765420991
"11","TCA","SSRI",-0.243346258631729,0.27912033832257
"17","TCA","Placebo",1.08059378316543,0.292269870305414
"20","TCA","SSRI",-0.00858374369139144,0.389420082669001
"22","TCA","SSRI",0.0425596144187959,0.350103504364232
"23","TCA","SSRI",-0.231221278488044,0.219333878668614
"24","TCA","Placebo",0.911836381524775,0.536560178728188
"26","SSRI","Placebo",0.412250371109981,0.197766483950365
"29","TCA","SSRI",0.89501333342687,0.410149944284808
"30","NaSSa","rMAO-A",0.0689928714869514,0.397588435393834
"31","TCA","Placebo",0.67951905305859,0.323663139405014
"33","TCA","rMAO-A",0.543769779485345,0.224443312749475
"34","TCA","SSRI",-0.230690756949593,0.341233422085444
"37","TCA","SSRI",-0.168539417279358,0.446132061642201
"39","NaSSa","Placebo",0.303186258987746,0.557006651896017
"41","SSRI","SNRI",0.413661875312343,0.218059076043623
"46","SSRI","Hypericum",0.169821394029723,0.262262574794208
"48","SSRI","Placebo",0.488424687076824,0.206933591199506
"49","SSRI","Placebo",0.564050003178237,0.251433434446741
"50","SSRI","Hypericum",0.0689928714869514,0.250385350227038
"50","SSRI","Placebo",0.674950406048862,0.253392424679098
"52","TCA","rMAO-A",0.710096738873718,0.564168670589323
"53","SSRI","NaSSa",0.180832353242487,0.257038454901743
"53","SSRI","Placebo",0.335260849434916,0.253463064048285
"55","TCA","Hypericum",-0.369920170688753,0.292877008923353
"55","TCA","Placebo",0.0826917158451134,0.35961650193221
"56","TCA","SSRI",0.00413603530794447,0.232878616013556
"57","TCA","SSRI",-0.0555030244881806,0.129999097368819
"61","SSRI","Hypericum",-0.123481056771021,0.389620009501247
"61","SSRI","Placebo",-0.0487901641694321,0.391375271542037
"64","SSRI","Hypericum",-0.813106495638924,0.263924520111336
"65","Hypericum","Placebo",1.94591014905531,0.434248118673448
"66","Hypericum","Placebo",1.04796855584935,0.663411968625409
"67","SSRI","Hypericum",0.131028262406404,0.334092702289644
"68","Hypericum","Placebo",1.38629436111989,0.715891053163818
"70","SSRI","Hypericum",-0.178691788743376,0.423004499177149
"71","Hypericum","Placebo",0.846481200480648,0.427208383346021
"72","TCA","Hypericum",0.120286165874502,0.312005665822642
"73","Hypericum","Placebo",0.295150367059307,0.380690563587464
"74","Hypericum","Placebo",0.477785769687791,0.366388676733243
"76","SSRI","SNRI",-0.0896121586896872,0.278425113119626
"83","TCA","Low-dose SARI",0.818398510823855,0.3116011899136
"83","TCA","NaSSa",1.34184259854906,0.422159354521281
"88","Low-dose SARI","NaSSa",0.946777765058682,0.368015048583988
"90","TCA","SSRI",0.587786664902119,0.446028921642755
"91","TCA","rMAO-A",0.309413088507207,0.351971135577445
"94","TCA","SSRI",0.402325388103497,0.322266556834621
"95","TCA","SSRI",0.359902488429599,0.3473038679108
"96","TCA","SSRI",-0.615536577855021,0.530693798674619
"100","TCA","SSRI",-0.382034856299778,0.262057489586458
"105","TCA","SSRI",-0.0678225963387611,0.223459457950866
"112","SSRI","SNRI",-0.344241988086757,0.225376141433269
"113","TCA","Low-dose SARI",-0.0705301508058379,0.265603062245184
"114","Low-dose SARI","NaSSa",0,0.730296743340221
"116","SSRI","NaSSa",0.806475865866949,0.7587583842794
"120","TCA","SSRI",0.0224312316767316,0.259621274384214
"121","Low-dose SARI","NaSSa",1.03407376753054,0.454096579709321
"123","SSRI","NaSSa",-0.323635089860532,0.292501967950774
"128","TCA","SSRI",0.180051408259415,0.400047345682831
"132","TCA","SNRI",0.267137543220149,0.429146490702767
"135","SSRI","NRI",0.168962728300541,0.168877783128248
"1","SNRI","Placebo",0.664976303593249,0.35884514943056
"11","SSRI","Placebo",0.442197117376894,0.286009800336032
"50","Hypericum","Placebo",0.60595753456191,0.251032357863038
"53","NaSSa","Placebo",0.154428496192429,0.253564540339742
"55","Hypericum","Placebo",0.452611886533866,0.369499042280789
"61","Hypericum","Placebo",0.0746908926015892,0.386552453649953
"83","Low-dose SARI","NaSSa",0.523444087725202,0.390695552459943
