"study","treat1","treat2","effect","se"
"1","A","C",-1.05129302699633,0.413243231419396
"1","A","D",-0.128527574939361,0.475980250532909
"2","B","C",-0.00124455523220472,0.450406957665775
"2","B","D",-0.225333286200901,0.383939345790021
"3","A","C",-2.20228928620676,0.143043865170366
"4","A","C",-0.87035363668713,0.791093254011701
"5","A","C",-0.415648521886279,0.155732897872958
"6","A","C",-2.77968374609038,1.46984024977533
"7","A","C",-2.70539327492945,0.625160818777302
"8","A","C",-2.42518741508638,1.04225122951142
"9","A","C",-0.443616874072541,0.521976908539188
"10","A","B",0.0159649357312724,0.169915045874876
"11","A","B",-0.393504543648524,0.326575446159963
"12","A","C",-0.390412268317413,0.168017707955201
"13","A","C",-0.106335649816033,0.595599682337342
"14","A","C",-0.583398287042234,0.298346728281924
"15","A","D",-3.5225168299416,1.49699704990983
"16","A","B",-0.679594214155242,0.44111579647405
"17","A","C",-0.539679845514607,0.140119917217707
"18","A","C",0.125505081750294,0.31999242189397
"19","A","C",0.239970161562556,0.173656434118018
"20","A","C",-0.0389560069154973,0.187384204203303
"21","B","C",0.151684587332065,0.428975285602477
"22","B","D",-1.04348630604959,0.448979522015191
"23","C","D",-0.680724660561388,0.409239357652526
"24","C","D",0.405465108108164,0.713906041260888
"1","C","D",0.922765452056965,0.399797160340808
"2","C","D",-0.224088730968697,0.372299503991839
